OID_	base_bbl	bin	cnstrct_yr	doitt_id	feat_code	geomsource	globalid	groundelev	heightroof	date_lstmo	time_lstmo	lststatype	mpluto_bbl	name	shape_area	shape_len	bin_c	AREA	MEAN	USR_MWh	ElcPrd_MWh
6518	1019080060	1057807	1910	794714	2100	Photogramm	{49110D67-6185-45E7-9FA3-9986EA3526CC}	22	72.75388595	8/22/2017 0:00	00:00.0	Constructed	1019080060	 	9471.712045	0	1057807	8300	1122.560118	865.6015924	119.1067791
6525	1008270049	1015625	1896	316289	2100	Photogramm	{DCC51D01-2C41-4841-BCEF-D6DC4D8824E4}	44	223.35	8/22/2017 0:00	00:00.0	Constructed	1008270049	Saint James Building	10630.27564	0	1015625	5400	1079.951985	541.7869654	74.54988644
6529	1021360180	1063338	1920	802053	2100	Photogramm	{AE8160EC-7919-4320-BA58-DED58F155FDE}	143	78.99	8/22/2017 0:00	00:00.0	Constructed	1021360180	 	8567.277779	0	1063338	7100	1137.95067	750.6061702	103.283409
6532	1016160001	1085254	1974	305876	2100	Photogramm	{AE7D6FE4-4A8D-428D-A6BE-25FAB7B01408}	17	130.98	8/22/2017 0:00	00:00.0	Constructed	1016160001	 	36321.77862	0	1085254	22900	959.853534	2042.070804	280.9889427
6545	1003790027	1004551	1928	718330	2100	Photogramm	{3975D1F6-831A-4753-BE8D-4B503BFFCF54}	8	98.76	8/22/2017 0:00	00:00.0	Constructed	1003790027	 	12926.72057	0	1004551	10700	1127.05919	1120.368392	154.1626908
6554	1003380001	1084357	1962	746512	2100	Photogramm	{5DAC779A-8429-440A-A428-CA34836C4923}	17	28.05	8/22/2017 0:00	00:00.0	Constructed	1003380001	 	13143.12108	0	1084357	11200	945.0158354	983.3032039	135.3025209
6556	1019930015	1059837	1941	654469	2100	Photogramm	{9D00651C-D5D5-4C92-8A2A-EECCAE20A69A}	75	70.8	8/22/2017 0:00	00:00.0	Constructed	1019930015	 	8403.942137	0	1059837	6000	984.4575541	548.7551282	75.50870564
6557	1021790010	1079986	1939	382708	2100	Photogramm	{1BFDAF65-4C19-4D13-B18E-8DD7A8DDA962}	201	173.34	8/22/2017 0:00	00:00.0	Constructed	1021790010	 	11157.9818	0	1079986	6600	1067.670027	654.6532558	90.080288
6565	1015160032	1048053	1915	554047	2100	Photogramm	{FAC3ED1A-49AF-4047-89AF-D5C849629C04}	83	74.82	8/22/2017 0:00	00:00.0	Constructed	1015160032	 	11769.80055	0	1048053	4900	869.5144192	395.8249941	54.46551919
6568	1005810063	1009758	1926	388364	2100	Photogramm	{225BDD3F-19EB-4659-B2B6-03C6E52D81DA}	12	180.52	8/22/2017 0:00	00:00.0	Constructed	1005810063	 	23432.3983	0	1009758	15100	1094.125959	1534.880664	211.1995794
6572	1011340001	1081022	1964	626164	2100	Photogramm	{26FB8774-BD9F-40D0-B703-082558F17CD2}	81	123.73	8/22/2017 0:00	00:00.0	Constructed	1011340001	Lincoln Center for the Performing Arts	81610.93804	0	1081022	61200	1085.067271	6169.336115	848.9006494
6575	1022170001	1064707	1925	353214	2100	Photogramm	{EF83FBB3-7C83-40EC-8F43-8403C3749643}	13	51.21	8/22/2017 0:00	00:00.0	Constructed	1022170001	 	11903.33612	0	1064707	8500	1140.963639	900.9922918	123.9765394
6576	1015960001	1083318	1952	465421	2100	Photogramm	{E422A1A5-4C01-4815-83AF-EE8333EA165E}	22	138.415268	8/22/2017 0:00	00:00.0	Constructed	1015960001	 	9121.863336	0	1083318	6200	1067.524531	614.8934952	84.60934495
6581	1012810069	1035401	1955	794716	2100	Photogramm	{42CB8822-449B-43CC-AAB7-E1D1E0C9BB79}	59	201.81	8/22/2017 0:00	00:00.0	Constructed	1012810069	 	14289.20612	0	1035401	0	0	0	0
6583	1014960021	1046820	1922	557833	2100	Photogramm	{0984AAF2-9DF1-4F8A-A3DE-E9691AA8BD88}	98	126.46	8/22/2017 0:00	00:00.0	Constructed	1014960021	 	9718.601907	0	1046820	6700	1066.427354	663.7987411	91.33870677
6601	1007850037	1014429	1925	779296	2100	Photogramm	{5DCD460B-29DA-4B73-B3D1-8B3C1BDF5C01}	41	283.130489	8/22/2017 0:00	00:00.0	Constructed	1007850037	 	8090.725845	0	1014429	3000	1000.129712	278.7455416	38.35538653
6609	1015140001	1047926	1929	217416	2100	Photogramm	{4E08FA5A-7E3E-4E6A-AEE5-204C555DC260}	92	201.88	8/22/2017 0:00	00:00.0	Constructed	1015140001	 	8072.450693	0	1047926	2800	995.6656712	259.0012801	35.63857615
6610	1016270001	1086037	2000	996771	2100	Photogramm	{E98E3538-C91F-43EE-ADF9-790CCAC0DCA6}	62	98.09318552	8/22/2017 0:00	00:00.0	Constructed	1016270001	 	80411.70572	0	1086037	73700	1155.245913	7909.923338	1088.405451
6623	1020020067	1059969	1920	431418	2100	Photogramm	{9C2D11AC-B6F9-45C6-8FCB-704449E96B8E}	64	72.33	8/22/2017 0:00	00:00.0	Constructed	1020020067	 	8148.337985	0	1059969	6700	1104.368943	687.4155202	94.58837558
6627	1005350001	1077346	1990	775270	2100	Photogramm	{B0028C55-FE03-4A5F-ADA8-6683D64C51F1}	36	147.6331609	8/22/2017 0:00	00:00.0	Constructed	1005350001	Tisch Hall	9847.440047	0	1077346	6500	1107.315042	668.6747157	92.00964088
6640	1013660047	1040355	1956	215638	2100	Photogramm	{40DB5720-31E7-4B0D-8A6F-EBD2C6590BF5}	34	157.3	8/22/2017 0:00	00:00.0	Constructed	1013660047	 	8468.583949	0	1040355	3300	976.516424	299.3807262	41.19478793
6659	1013740049	1040762	1971	272833	2100	Photogramm	{47E7CC1D-9987-40B1-9B70-F918009062AC}	48	299.0686212	8/22/2017 0:00	00:00.0	Constructed	1013740049	 	8926.90251	0	1040762	800	929.877594	69.11083113	9.509650363
6662	1016240001	1051695	1963	546316	2100	Photogramm	{438D1759-0752-4548-BB7F-C58CC4C01E75}	80	180.02619	8/22/2017 0:00	00:00.0	Constructed	1016240001	 	10184.71868	0	1051695	5200	1023.707016	494.5490466	68.04994882
6672	1012740025	1035253	1907	519428	2100	Other (Man	{10DEE667-F63D-482B-89F9-7E567257335D}	51	279	8/22/2017 0:00	00:00.0	Constructed	1012747504	Plaza Hotel	58601.70934	0	1035253	9100	950.2382309	803.3489629	110.5408173
