OID_,base_bbl,bin,cnstrct_yr,doitt_id,feat_code,geomsource,globalid,groundelev,heightroof,date_lstmo,time_lstmo,lststatype,mpluto_bbl,name,shape_area,shape_len,bin_c,AREA,MEAN,USR_MWh,ElcPrd_MWh
14164,2027640021,2088210.000000000000000,1988.000000000000000,164625.000000000000000,2100.000000000000000,Photogramm,{2DFD527A-7E62-4B7C-BA32-3DC201CF70F5},24.000000000000000,29.690000000000001,8/22/2017 0:00:00,00:00:00.000,Constructed,2027640021, ,24691.667380200000480,0.000000000000000,2088210,22500.000000000000000,1159.784158259999913,2424.320512159999907,333.586502472999996
14165,2024030001,2001736.000000000000000,1962.000000000000000,801695.000000000000000,2100.000000000000000,Photogramm,{C33A22DA-9B45-418C-A14A-98B92F2E847F},36.000000000000000,39.409999999999997,8/22/2017 0:00:00,00:00:00.000,Constructed,2024030001, ,28445.746861999999965,0.000000000000000,2001736,20800.000000000000000,1140.163163989999930,2203.234312009999940,303.165041332999976
14173,2028720001,2008645.000000000000000,1926.000000000000000,21792.000000000000000,2100.000000000000000,Photogramm,{E06EC600-8571-4FA5-87F1-44C236288C14},91.000000000000000,61.960999989999998,8/22/2017 0:00:00,00:00:00.000,Constructed,2028720001, ,8056.001978029999918,0.000000000000000,2008645,3600.000000000000000,1162.806111650000048,388.901978088000021,53.512912184900003
14175,2032150063,2014690.000000000000000,1921.000000000000000,31608.000000000000000,2100.000000000000000,Photogramm,{34BFD5A3-ACA5-4D21-B5BB-49F6D11F89FE},134.000000000000000,57.060000000000002,8/22/2017 0:00:00,00:00:00.000,Constructed,2032150063, ,9371.625776990000304,0.000000000000000,2014690,4600.000000000000000,1161.938591999999971,496.559566996999990,68.326596418799994
14179,2039880037,2041967.000000000000000,1950.000000000000000,256078.000000000000000,2100.000000000000000,Photogramm,{C76C5255-26DE-4AF1-ACF5-E9D896F0998C},34.000000000000000,14.190000000000000,8/22/2017 0:00:00,00:00:00.000,Constructed,2039880037, ,14856.831726899999921,0.000000000000000,2041967,14600.000000000000000,1176.347353160000011,1595.580724099999998,219.551907636000010
14184,2028760055,2008816.000000000000000,1926.000000000000000,18554.000000000000000,2100.000000000000000,Photogramm,{0DBDEA8C-46B4-4B33-9BFF-0DC3C2FFCF6E},107.000000000000000,63.197465880000003,8/22/2017 0:00:00,00:00:00.000,Constructed,2028760055, ,16661.131291500001680,0.000000000000000,2008816,6700.000000000000000,1163.243437350000022,724.062006358999952,99.630932075000004
14194,2027560010,2092031.000000000000000,1987.000000000000000,181608.000000000000000,2100.000000000000000,Photogramm,{283C361F-4068-44A2-A427-F427F45FFC01},52.000000000000000,30.539999999999999,8/22/2017 0:00:00,00:00:00.000,Constructed,2027560010, ,8123.355621200000314,0.000000000000000,2092031,4800.000000000000000,1184.809666950000064,528.348126735000051,72.700702238700003
14197,2036600003,2022630.000000000000000,1978.000000000000000,258319.000000000000000,2100.000000000000000,Photogramm,{055D3551-EDCC-4036-AC33-7AFE886C54B6},16.000000000000000,30.039999999999999,8/22/2017 0:00:00,00:00:00.000,Constructed,2036600003, ,16637.497331400001713,0.000000000000000,2022630,12300.000000000000000,1122.172422829999960,1282.315963620000048,176.446676593999996
14198,2032730001,2102038.000000000000000,1922.000000000000000,501576.000000000000000,2100.000000000000000,Photogramm,{7282A294-329E-42B1-98AC-1C4DFED06BFF},75.000000000000000,40.200000000000003,2/14/2009 0:00:00,00:00:00.000,Constructed,2032730001,Alumni Court North,12578.364255200000116,0.000000000000000,2102038,7500.000000000000000,1166.535367019999967,812.810900569999944,111.842779918000005
14199,2033470001,2018348.000000000000000,1939.000000000000000,133643.000000000000000,2100.000000000000000,Photogramm,{858661B8-3FF6-48A0-BBB4-7872823ABB20},146.000000000000000,67.379999999999995,8/22/2017 0:00:00,00:00:00.000,Constructed,2033470001, ,11401.184643399999914,0.000000000000000,2018348,5100.000000000000000,1175.338029450000022,556.882166332999986,76.626986087399999
14201,2028430098,2008105.000000000000000,1929.000000000000000,697449.000000000000000,2100.000000000000000,Photogramm,{9B093455-D6AD-4045-A56C-80B7B580D6C9},82.000000000000000,37.270000000000003,8/22/2017 0:00:00,00:00:00.000,Constructed,2028430098, ,8765.810882440000569,0.000000000000000,2008105,6200.000000000000000,1157.780680009999969,666.880983291999996,91.762823300999997
14203,2032490065,2015316.000000000000000,1962.000000000000000,549297.000000000000000,2100.000000000000000,Photogramm,{9DE08485-E0C0-4490-AD61-B7F948E0A84B},161.000000000000000,68.670000000000002,8/22/2017 0:00:00,00:00:00.000,Constructed,2032490065, ,9358.100875660000384,0.000000000000000,2015316,3800.000000000000000,1129.592497169999888,398.782178322999982,54.872427737199999
14205,2050440030,2069823.000000000000000,1931.000000000000000,498441.000000000000000,2100.000000000000000,Photogramm,{78D80AFB-1608-4515-BDC6-9F411B978B5B},175.000000000000000,66.310000000000002,8/22/2017 0:00:00,00:00:00.000,Constructed,2050440030, ,9606.705350489999546,0.000000000000000,2069823,3900.000000000000000,1146.891980289999992,415.544433071000014,57.178913990600002
14208,2022980001,2097030.000000000000000,1962.000000000000000,697566.000000000000000,2100.000000000000000,Photogramm,{BC353B2D-4345-4265-8B49-7725FE505F9D},23.000000000000000,38.590000000000003,8/22/2017 0:00:00,00:00:00.000,Constructed,2022980001, ,33233.518320199997106,0.000000000000000,2097030,24300.000000000000000,1137.427882069999896,2567.795829979999780,353.328706205000003
